Date,High,Low,Open,Close,Volume
"Jul 29, 2020",380.92,374.85,375,380.16,"2,25,00,400"
"Jul 28, 2020",378.2,372.99,377.47,373.01,"2,59,06,400"
"Jul 27, 2020",379.62,373.92,374.84,379.24,"3,03,03,500"
"Jul 24, 2020",371.88,356.58,363.95,370.46,"4,63,59,700"
"Jul 23, 2020",388.31,368.04,387.99,371.38,"4,92,51,100"
"Jul 22, 2020",391.9,386.41,386.77,389.09,"2,22,50,400"
"Jul 21, 2020",397,386.97,396.69,388,"2,59,11,500"
"Jul 20, 2020",394,384.25,385.67,393.43,"2,25,79,500"
"Jul 17, 2020",388.59,383.36,387.95,385.31,"2,30,46,700"
"Jul 16, 2020",389.62,383.62,386.25,386.09,"2,76,44,400"
"Jul 15, 2020",396.99,385.96,395.96,390.9,"3,82,99,500"
"Jul 14, 2020",389.02,375.51,379.36,388.23,"4,27,47,300"
"Jul 13, 2020",399.82,381.03,389.06,381.91,"4,79,12,300"
"Jul 10, 2020",383.92,378.82,381.34,383.68,"2,25,64,300"
"Jul 09, 2020",385.27,378.69,385.05,383.01,"3,14,10,700"
"Jul 08, 2020",381.5,376.36,376.72,381.37,"2,92,73,000"
"Jul 07, 2020",378.62,372.23,375.41,372.69,"2,81,06,100"
"Jul 06, 2020",375.78,369.87,370,373.85,"2,96,63,900"
"Jul 02, 2020",370.47,363.64,367.85,364.11,"2,85,10,400"
"Jul 01, 2020",367.36,363.91,365.12,364.11,"2,76,84,300"
"Jun 30, 2020",365.98,360,360.08,364.8,"3,50,55,800"
"Jun 29, 2020",362.17,351.28,353.25,361.78,"3,26,61,500"
"Jun 26, 2020",365.32,353.02,364.41,353.63,"5,13,14,200"
"Jun 25, 2020",365,357.57,360.7,364.84,"3,43,80,600"
"Jun 24, 2020",368.79,358.52,365,360.06,"4,81,55,800"
"Jun 23, 2020",372.38,362.27,364,366.53,"5,30,38,900"
"Jun 22, 2020",359.46,351.15,351.34,358.87,"3,38,61,300"
"Jun 19, 2020",356.56,345.15,354.64,349.72,"6,61,19,000"
"Jun 18, 2020",353.45,349.22,351.41,351.73,"2,42,05,100"
"Jun 17, 2020",355.4,351.09,355.15,351.59,"2,85,32,000"
"Jun 16, 2020",353.2,344.72,351.46,352.08,"4,13,57,200"
"Jun 15, 2020",345.68,332.58,333.25,342.99,"3,47,02,200"
"Jun 12, 2020",347.8,334.22,344.72,338.8,"5,00,01,500"
"Jun 11, 2020",351.06,335.48,349.31,335.9,"5,04,15,600"
"Jun 10, 2020",354.77,346.09,347.9,352.84,"4,16,62,900"
"Jun 09, 2020",345.61,332.01,332.14,343.99,"3,69,28,100"
"Jun 08, 2020",333.6,327.32,330.25,333.46,"2,39,13,600"
"Jun 05, 2020",331.75,323.23,323.35,331.5,"3,43,12,600"
"Jun 04, 2020",325.62,320.78,324.39,322.32,"2,18,90,100"
"Jun 03, 2020",326.2,322.3,324.66,325.12,"2,61,22,800"
"Jun 02, 2020",323.44,318.93,320.75,323.34,"2,19,10,700"
"Jun 01, 2020",322.35,317.21,317.75,321.85,"2,01,97,800"
"May 29, 2020",321.15,316.47,319.25,317.94,"3,83,99,500"
"May 28, 2020",323.44,315.63,316.77,318.25,"3,33,90,200"
"May 27, 2020",318.71,313.09,316.14,318.11,"2,82,36,300"
